source_id,jsd,jaccard,dom_eq,dom_A,dom_Ap,tci1,tci2,h1,h2,hn1,hn2
S129906632,0.11589056118772027,0.2,True,3312,3312,0.18580402733649248,0.1833137071845779,2.4667695430140775,2.3359402180638993,0.6781336399189578,0.7087548058456699
S130611943,0.04158856111633801,1.0,True,3312,3312,0.2914512799999999,0.2963000881127516,1.876402039164642,1.867867581083507,0.590424876144784,0.5491794128603866
S13068289,0.048982456269412666,1.0,True,3312,3312,0.3003969799999999,0.3437391619151996,1.8026211029268104,1.4932865291424915,0.592086653916974,0.5514249804286144
S131679521,0.09666999604462498,1.0,True,3312,3312,0.44837058411997,0.36325718420933206,1.3545332306086175,1.618279044948459,0.528093557351621,0.5836707882304174
S131700781,0.11520234480162249,0.6666666666666666,False,1312,1311,0.1475653679502052,0.16154385999999998,2.4427937311485355,2.5107780814008724,0.7497610038995195,0.7244574173619489
S132495599,0.1312269261208653,0.5,True,3312,3312,0.27836022,0.38915458260077657,1.7128268623128844,1.427856007858926,0.6045527301733966,0.5410477414930162
S132665167,0.04615724499203381,1.0,True,3312,3312,0.44295877999999994,0.5456186799999999,1.2326619357386437,1.0832991848738918,0.5610086235395416,0.41048717385454575
S133648787,0.09182110757321918,0.5,False,3320,3312,0.3400455599999999,0.34119056000000003,1.3212111986778685,1.4284215404287033,0.678968244920908,0.6203555928399285
S133992056,0.007953566596626039,1.0,True,3106,3106,0.6419931049590772,0.6265533944133489,0.8643645093753588,0.9712780959410825,0.26225949417917077,0.26701170866950424
S134425043,0.029060061410632675,1.0,True,1311,1311,0.35980702499693046,0.4034424082452362,1.7600773111385817,1.6145235763665886,0.45465924042156636,0.4241310020799882
S134651815,0.04457011082057177,1.0,True,3106,3106,0.49078665503054614,0.3744331564071718,1.447833925496867,1.8108931081005553,0.4299693280892053,0.5093434107663519
S134776053,0.19082944788062386,1.0,False,3312,3320,0.290797522341628,0.23085939581224366,1.6646919571704826,1.9342956138679177,0.6004107078043995,0.6692203549884694
S134986326,0.1254296560816302,1.0,True,3312,3312,0.33468309003516206,0.5195387264774014,1.7293610467824618,1.2633125012214015,0.6103885718350436,0.4665026153160741
S135066301,0.029779322790003428,1.0,True,3109,3109,0.2100495579879069,0.2501224810026996,2.2482446658650432,2.134872507818999,0.6747018854934665,0.6340020644481285
S135297974,0.0569633362871767,0.5,True,3312,3312,0.40227373999999994,0.23078786016319816,1.5335004411327824,2.126344749523743,0.5662747464979152,0.6879053851924742
S135892541,0.07641833666140839,1.0,True,3312,3312,0.20037078,0.23790804601171722,2.0367827325250616,1.991204760379469,0.6179865130868362,0.6111558503998938
S138240904,0.009000121087038682,1.0,True,2604,2604,0.3616810731035157,0.3752082845909989,1.5431357210356524,1.5358021320341937,0.4855599695322668,0.4713801798417022
S13880985,0.0812855667206082,0.3333333333333333,True,1312,1312,0.23820818000000002,0.2541407393107305,1.7162619528721963,1.747529170477848,0.6503314397957417,0.6168011223524626
S139866111,0.19528590511742355,1.0,True,3312,3312,0.371944697026009,0.5036187323623058,1.4776231548720475,1.2666186157594594,0.5599056671828597,0.5282209903526359
S139935717,0.03587178160413633,0.6666666666666666,True,3312,3312,0.17801811999999997,0.15099795020071316,2.3683118340050027,2.495770273892205,0.6716022985944664,0.7201270794684749
S140176541,0.12079188072407299,0.3333333333333333,False,3306,3312,0.2644682810115195,0.28051631530546955,1.666896697347942,1.8266679855642305,0.5392668403945451,0.542473271667244
S140231038,0.24133803160690337,0.25,True,3312,3312,0.15917472050657913,0.24334013559371734,2.300067467985302,1.9350613176366127,0.7677813829660466,0.6979258416926011
S140378306,0.03577673332338123,0.75,True,1311,1311,0.11631297999999998,0.12548707999999995,2.6163629308788803,2.5389945330657935,0.7045407720337657,0.6930399371737345
S141683002,0.025032963086957856,1.0,True,3312,3312,0.30253143532461274,0.2990052101238411,1.6536509660958183,1.713169706755998,0.5721239704125372,0.5322260938183737
S141724154,0.0693169151086335,1.0,True,3312,3312,0.39989926000000015,0.46230494438807296,1.5768984310975385,1.364928816530867,0.5101510105059509,0.47223296200637094
S141988568,0.15178519769347162,0.5,True,3312,3312,0.234554732510815,0.40813723856993855,1.9393951837625723,1.5793163449688816,0.6185293450422985,0.5109332430077129
S14335163,0.07569640508116754,0.3333333333333333,True,3320,3320,0.24260710615269845,0.24774377876680884,1.735874487646217,1.8254400261791557,0.6577630838733185,0.6740790940419712
