source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S51267760,1.0,0.0,0.014577289296944598,3312,3312,1,1
S51499565,1.0,0.0,0.02333640188279461,3312|3320,3312|3320,2,2
S51698217,1.0,0.0,0.04881872514909596,3312|3320,3312|3320,2,2
S51811661,1.0,0.0,0.027147193389323254,2604|2608,2604|2608,2,2
S51920167,0.3333333333333333,0.6666666666666667,0.006748530565512011,1703|2604,2604|2608,2,2
S52621960,1.0,0.0,0.00803597006979229,2604|2608,2604|2608,2,2
S53566929,1.0,0.0,0.019939133203618505,3312,3312,1,1
S5416984,1.0,0.0,0.03128355761580098,3312,3312,1,1
S54847137,1.0,0.0,0.0250038348081938,3312,3312,1,1
S55069968,1.0,0.0,0.03472052569047997,3312|3318,3312|3318,2,2
S56771637,1.0,0.0,0.026239917786674935,3312,3312,1,1
S56850725,1.0,0.0,0.06141839085627394,2604|2610,2604|2610,2,2
S57027881,0.5,0.5,0.054410837540060826,1203|3207|3312,1203|3312|3318,3,3
S57090429,1.0,0.0,0.01000779824520086,3312|3320,3312|3320,2,2
S57552105,1.0,0.0,0.00800344767689514,1311|1312,1311|1312,2,2
S57599369,0.75,0.25,0.09052689954659393,3312|3314|3320,3305|3312|3314|3320,3,4
S58059009,1.0,0.0,0.017457350512629408,3312|3317,3312|3317,2,2
S59071098,1.0,0.0,0.0420190702869811,3312|3320,3312|3320,2,2
S59311786,0.75,0.25,0.012430427778035394,3304|3312|3318,3304|3312|3318|3600,3,4
S59604070,0.5,0.5,0.019818591942987192,3312,3312|3320,1,2
S603496,1.0,0.0,0.06792875703850351,3312|3320,3312|3320,2,2
S60621485,1.0,0.0,0.05894002131253555,3312,3312,1,1
S61246407,1.0,0.0,0.008638151392059054,2604|2610,2604|2610,2,2
S61274580,0.25,0.75,0.05391465465205385,3312|3318,2003|3312|3317,2,3
S61522235,1.0,0.0,0.03680202959914876,3312|3316,3312|3316,2,2
S62036463,1.0,0.0,0.023494982109334022,3312,3312,1,1
S62159105,1.0,0.0,0.016654307370746153,3106,3106,1,1
S63231389,1.0,0.0,0.04271128676004533,3206|3312,3206|3312,2,2
S63576417,1.0,0.0,0.018623222353420968,1406|1802|3312,1406|1802|3312,3,3
S64961995,1.0,0.0,0.008993853856347524,1312|2303,1312|2303,2,2
S65076878,1.0,0.0,0.007315413490655398,3312|3320,3312|3320,2,2
