source_id,config,subfield_id,d,p_doc
S10591207,W0_2021_2024,3304,6,0.0208
S10591207,W0_2021_2024,3305,4,0.0138
S10591207,W0_2021_2024,3306,5,0.0173
S10591207,W0_2021_2024,3308,1,0.0035
S10591207,W0_2021_2024,3310,1,0.0035
S10591207,W0_2021_2024,3311,5,0.0173
S10591207,W0_2021_2024,3312,142,0.4913
S10591207,W0_2021_2024,3314,1,0.0035
S10591207,W0_2021_2024,3315,4,0.0138
S10591207,W0_2021_2024,3316,1,0.0035
S10591207,W0_2021_2024,3317,3,0.0104
S10591207,W0_2021_2024,3318,10,0.0346
S10591207,W0_2021_2024,3320,16,0.0554
S10591207,W0_2021_2024,3321,5,0.0173
S10591207,W0_2021_2024,3322,1,0.0035
S10591207,W0_2021_2024,3600,8,0.0277
S10591207,W+1_2022_2025,1100,1,0.0043
S10591207,W+1_2022_2025,1106,1,0.0043
S10591207,W+1_2022_2025,1110,1,0.0043
S10591207,W+1_2022_2025,1202,2,0.0086
S10591207,W+1_2022_2025,1207,2,0.0086
S10591207,W+1_2022_2025,1208,2,0.0086
S10591207,W+1_2022_2025,1211,1,0.0043
S10591207,W+1_2022_2025,1213,5,0.0216
S10591207,W+1_2022_2025,1406,3,0.0129
S10591207,W+1_2022_2025,1407,4,0.0172
S10591207,W+1_2022_2025,1408,2,0.0086
S10591207,W+1_2022_2025,1702,1,0.0043
S10591207,W+1_2022_2025,1703,1,0.0043
S10591207,W+1_2022_2025,1709,1,0.0043
S10591207,W+1_2022_2025,1710,1,0.0043
S10591207,W+1_2022_2025,1803,1,0.0043
S10591207,W+1_2022_2025,2002,1,0.0043
S10591207,W+1_2022_2025,2003,5,0.0216
S10591207,W+1_2022_2025,2215,2,0.0086
S10591207,W+1_2022_2025,2303,1,0.0043
S10591207,W+1_2022_2025,2306,1,0.0043
S10591207,W+1_2022_2025,2308,7,0.0302
S10591207,W+1_2022_2025,2309,1,0.0043
S10591207,W+1_2022_2025,2403,1,0.0043
S10591207,W+1_2022_2025,2739,1,0.0043
S10591207,W+1_2022_2025,2743,4,0.0172
S10591207,W+1_2022_2025,2748,1,0.0043
S10591207,W+1_2022_2025,2805,4,0.0172
S10591207,W+1_2022_2025,3203,6,0.0259
S10591207,W+1_2022_2025,3204,1,0.0043
S10591207,W+1_2022_2025,3205,2,0.0086
S10591207,W+1_2022_2025,3206,1,0.0043
S10591207,W+1_2022_2025,3207,6,0.0259
S10591207,W+1_2022_2025,3300,1,0.0043
S10591207,W+1_2022_2025,3304,1,0.0043
S10591207,W+1_2022_2025,3305,2,0.0086
S10591207,W+1_2022_2025,3306,4,0.0172
S10591207,W+1_2022_2025,3308,1,0.0043
S10591207,W+1_2022_2025,3311,4,0.0172
S10591207,W+1_2022_2025,3312,104,0.4483
S10591207,W+1_2022_2025,3314,2,0.0086
S10591207,W+1_2022_2025,3315,2,0.0086
S10591207,W+1_2022_2025,3316,1,0.0043
S10591207,W+1_2022_2025,3317,2,0.0086
S10591207,W+1_2022_2025,3318,11,0.0474
S10591207,W+1_2022_2025,3320,14,0.0603
S10591207,W+1_2022_2025,3321,3,0.0129
S10591207,W+1_2022_2025,3322,2,0.0086
S10591207,W+1_2022_2025,3600,3,0.0129
S10591207,W+1_2022_2025,3604,1,0.0043
S10599296,W0_2021_2024,1304,1,0.0022
S10599296,W0_2021_2024,1312,1,0.0022
S10599296,W0_2021_2024,1604,1,0.0022
S10599296,W0_2021_2024,1607,2,0.0044
S10599296,W0_2021_2024,1702,1,0.0022
S10599296,W0_2021_2024,1703,1,0.0022
S10599296,W0_2021_2024,1707,1,0.0022
S10599296,W0_2021_2024,1711,1,0.0022
S10599296,W0_2021_2024,1906,2,0.0044
S10599296,W0_2021_2024,1910,1,0.0022
S10599296,W0_2021_2024,2202,7,0.0154
S10599296,W0_2021_2024,2204,4,0.0088
S10599296,W0_2021_2024,2205,1,0.0022
S10599296,W0_2021_2024,2206,1,0.0022
S10599296,W0_2021_2024,2209,1,0.0022
S10599296,W0_2021_2024,2210,1,0.0022
S10599296,W0_2021_2024,2212,1,0.0022
S10599296,W0_2021_2024,2505,3,0.0066
S10599296,W0_2021_2024,2508,1,0.0022
S10599296,W0_2021_2024,2608,1,0.0022
S10599296,W0_2021_2024,2707,1,0.0022
S10599296,W0_2021_2024,2740,2,0.0044
S10599296,W0_2021_2024,2741,1,0.0022
S10599296,W0_2021_2024,2916,1,0.0022
S10599296,W0_2021_2024,3103,18,0.0396
S10599296,W0_2021_2024,3104,3,0.0066
S10599296,W0_2021_2024,3106,340,0.7489
S10599296,W0_2021_2024,3107,30,0.0661
